transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,anomaly_montant,anomaly_score,is_anomaly,zscore_montant,anomaly_montant_z,zscore_score,anomaly_score_z,annee,mois,trimestre,jour_semaine,montant_eur_verifie,montant_eur_diff,categorie_risque,solde_net,nb_transactions,montant_moyen,nb_produits_distincts,taux_rejet
TXN000559,CLI0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,Depot especes,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,16415.1,,False,False,False,0.15814122121166344,False,0.11462984324678945,False,2022.0,4.0,2.0,Tuesday,2050.42,0.0,Medium,21599.140000000003,12,1200.8716666666667,7,0.05572755417956656
TXN001154,CLI0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,Retrait DAB,Credit Consommation,,Debit,Rejete,435.0,Risque,42890.81,,False,False,False,0.006515393708060489,False,-1.5620621593878719,False,2024.0,6.0,2.0,Thursday,-143.7906976744186,0.0006976744186033557,High,6995.71,9,-379.13666666666666,7,
TXN000764,CLI0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,Prelevement,PEA,Lyon-Part-Dieu,Debit,Complete,648.0,Standard,48489.38,,False,False,False,-0.012490141623209215,False,0.13858258614157032,False,2024.0,8.0,3.0,Wednesday,-396.17,0.0,Medium,10808.05,11,-300.23181818181814,5,0.04013377926421405
TXN001598,CLI0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,704.0,Standard,43962.51,,False,False,False,0.030845770779238606,False,0.5857004535108133,False,2024.0,1.0,1.0,Sunday,225.2,0.0,Low,24235.3,17,-630.9223529411764,7,0.04519774011299435
TXN001873,CLI0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,Interets,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,457.0,Risque,17312.83,,False,False,False,0.08037133222447454,False,-1.386408711492812,False,2024.0,8.0,3.0,Sunday,935.32,0.0,High,11456.22,13,26.430769230769222,6,0.04519774011299435
TXN001864,CLI0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Debit,Rejete,341.0,Risque,29211.28,,False,False,False,-0.002765244017278249,False,-2.3125814367576725,False,2024.0,4.0,2.0,Sunday,-264.6701030927835,0.00010309278349041051,High,24671.9,13,103.00000000000007,6,0.05572755417956656
TXN000931,CLI0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Rejete,641.0,Standard,30331.51,,False,False,False,0.20711790898966845,False,0.08269285272041495,False,2023.0,9.0,3.0,Wednesday,2752.67,0.0,Medium,27600.21,13,1009.7253846153847,7,0.04205607476635514
TXN000620,CLI0005,,1962.49,EUR,1.0,1962.49,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,694.0,Standard,46954.33,,False,False,False,0.15200876103890446,False,0.505857977194877,False,,,,,1962.49,0.0,Medium,13259.31,9,-708.2766666666666,6,0.04205607476635514
TXN000581,CLI0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,Paiement CB,Compte Courant,Lille-Grand-Place,Credit,Complete,800.0,Premium,45270.95,,False,False,False,0.04049255675781269,False,1.3521882261438014,False,2022.0,10.0,4.0,Monday,422.69767441860466,0.002325581395325571,Low,18179.59,16,-282.826875,6,0.04205607476635514
TXN000726,CLI0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,Virement international,Credit Consommation,Toulouse-Capitole,Credit,Complete,390.0,Risque,19136.15,,True,False,True,0.465071096957085,False,-1.9213533028095848,False,2022.0,4.0,2.0,Thursday,6451.32,0.0,High,30829.010000000002,16,-724.453125,8,0.06806282722513089
TXN000701,CLI0009,2023-11-08 18:40:00,2407.48,EUR,1.0,2407.48,Depot especes,Compte Epargne,Nice-Massena,Credit,Rejete,645.0,Standard,10289.81,,False,False,False,0.18304348698313297,False,0.11462984324678945,False,2023.0,11.0,4.0,Wednesday,2407.48,0.0,Medium,21971.69,13,482.66076923076923,6,0.07633587786259542
TXN001018,CLI0031,2022-12-31 00:55:00,-1128.78,USD,1.08,-1045.17,Remboursement credit,PEA,Bordeaux-Meriadeck,Debit,Complete,559.0,Risque,10767.62,,False,False,False,-0.06358421244278097,False,-0.5720154530702624,False,2022.0,12.0,4.0,Saturday,-1045.1666666666665,-0.0033333333335576754,High,107605.35999999999,16,-5756.9725,8,0.04519774011299435
TXN001870,CLI0038,2023-08-24 04:11:00,-193.06,USD,1.08,-178.76,Retrait DAB,Compte Epargne,Bordeaux-Meriadeck,Debit,Complete,516.0,Risque,17181.83,,False,False,False,0.0016752625129112565,False,-0.9153381012287882,False,2023.0,8.0,3.0,Thursday,-178.75925925925924,-0.0007407407407526989,High,24983.12,15,1016.6893333333334,6,0.04519774011299435
TXN001124,CLI0134,2022-09-27 10:27:00,-199.89,USD,1.08,-185.08,Paiement CB,Compte Courant,Nice-Massena,Debit,Complete,600.0,Standard,40008.59,,False,False,False,0.0011989210710831703,False,-0.24466130017492368,False,2022.0,9.0,3.0,Tuesday,-185.08333333333331,0.00333333333330188,Medium,15863.83,11,-758.2354545454546,6,0.07633587786259542
TXN000116,CLI0077,2024-11-09 17:31:03,-5728.17,EUR,1.0,-5728.17,Virement international,Compte Courant,Paris-Centre,Debit,Complete,322.0,Risque,33722.94,,True,False,True,-0.3843572818614759,False,-2.4642821417579515,False,2024.0,11.0,4.0,Saturday,-5728.17,0.0,High,16640.73,11,-46.67363636363632,7,0.06578947368421052
TXN000420,CLI0110,2023-11-06 14:34:00,83.25,CHF,0.97,85.82,Paiement CB,Credit Consommation,Toulouse-Capitole,Credit,Complete,629.0,Standard,15519.02,,False,False,False,0.020945819436998928,False,-0.013118118858708559,False,2023.0,11.0,4.0,Monday,85.82474226804123,-0.0047422680412410045,Medium,15373.79,13,-242.55615384615382,5,0.06806282722513089
TXN001683,CLI0080,2024-02-18 08:14:00,-642.99,USD,1.08,-595.36,Prelevement,Credit Consommation,Paris-Centre,Debit,En attente,645.0,Premium,36036.25,,False,False,False,-0.02970399150198059,False,0.11462984324678945,False,2024.0,2.0,1.0,Sunday,-595.3611111111111,0.001111111111072205,Medium,10469.43,6,-748.9916666666667,4,0.06578947368421052
TXN001946,CLI0054,2022-09-24 14:46:00,-658.41,USD,1.08,-609.64,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,347.0,Standard,32208.9,,False,False,False,-0.030779421228626137,False,-2.264675950968111,False,2022.0,9.0,3.0,Saturday,-609.6388888888888,-0.0011111111111858918,High,23891.25,15,-158.16866666666658,8,0.04519774011299435
TXN001726,CLI0036,2024-08-08 12:19:00,962.1,MAD,10.85,88.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,14957.42,,False,False,False,0.08223903702859696,False,-0.4682202338595452,False,2024.0,8.0,3.0,Thursday,88.67281105990784,-0.0028110599078416953,High,19039.65,18,-42.36277777777781,8,0.05572755417956656
TXN001963,CLI0096,2022-05-02 03:39:00,-7100.94,EUR,1.0,-7100.94,Virement international,PEA,Lyon-Part-Dieu,Debit,Complete,710.0,Standard,39831.11,,True,False,True,-0.48009772711745585,False,0.633605939300375,False,2022.0,5.0,2.0,Monday,-7100.94,0.0,Low,33110.83,20,-21.814499999999992,8,0.04013377926421405
TXN000886,CLI0128,2024-05-12 03:07:00,1385.72,MAD,10.85,127.72,Virement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,683.0,Standard,1161.31,,False,False,False,0.11178336522584649,False,0.4180312532473472,False,2024.0,5.0,2.0,Sunday,127.71612903225807,0.0038709677419319632,Medium,37497.07,17,42.41941176470589,5,0.05572755417956656
TXN001448,CLI0141,2023-12-07 13:40:03,99999.99,EUR,1.0,264.77,Remboursement credit,Compte Courant,Lille-Grand-Place,Credit,Complete,726.0,Premium,40456.23,,True,False,True,6.989391499431454,True,0.7613539014058731,False,2023.0,12.0,4.0,Thursday,99999.99,-99735.22,Low,126798.31,15,5717.172666666667,5,0.04205607476635514
TXN001458,CLI0137,2023-02-04 06:12:00,-237.86,EUR,1.0,-237.86,Paiement CB,Credit Immobilier,Marseille-Vieux-Port,Debit,Rejete,725.0,Premium,15778.59,,False,False,False,-0.001449202581363753,False,0.7533696537742794,False,2023.0,2.0,1.0,Saturday,-237.86,0.0,Low,18372.42,16,234.97874999999996,6,0.05572755417956656
TXN001369,CLI0026,2022-03-25 09:58:00,-2639.99,USD,1.08,-2444.44,Remboursement credit,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,2697.47,,False,False,False,-0.1689798127802661,False,0.5457792153528452,False,2022.0,3.0,1.0,Friday,-2444.4351851851848,-0.004814814815290447,Medium,27174.649999999998,15,-824.6553333333334,7,0.04205607476635514
TXN001394,CLI0041,2023-01-03 06:52:00,-120.35,USD,1.08,-111.44,Retrait DAB,Credit Auto,Bordeaux-Meriadeck,Debit,Complete,643.0,Standard,22528.4,,False,False,False,0.006746241463909826,False,0.0986613479836022,False,2023.0,1.0,1.0,Tuesday,-111.43518518518518,-0.004814814814821489,Medium,17809.0,14,-109.58714285714287,7,0.04519774011299435
TXN001278,CLI0122,,307.37,EUR,1.0,307.37,Virement,PEA,Nantes-Commerce,Credit,Complete,824.0,Premium,25404.97,,False,False,False,0.03657651401130507,False,1.5438101693020483,False,,,,,307.37,0.0,Low,39885.13,22,211.56227272727273,8,0.085
TXN000663,CLI0020,2024-06-30 21:07:00,1091.33,CHF,0.97,1125.08,Virement,PEA,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,41973.38,,False,False,False,0.09125186346014068,False,0.2343935577206938,False,2024.0,6.0,2.0,Sunday,1125.0824742268042,-0.0024742268042245996,Medium,15573.34,13,45.60769230769228,7,0.04519774011299435
TXN001869,CLI0029,2022-05-21 15:53:00,-68.55,EUR,1.0,-68.55,Depot especes,Credit Consommation,Paris-Centre,Debit,Complete,696.0,Standard,49164.19,,False,False,False,0.010358904229165303,False,0.5218264724580643,False,2022.0,5.0,2.0,Saturday,-68.55,0.0,Medium,-186191.58000000002,12,-17071.90166666667,5,0.06578947368421052
TXN001810,CLI0097,2022-09-16 03:20:00,2734.98,USD,1.08,2532.39,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Complete,397.0,Risque,6932.66,,False,False,False,0.20588416373257637,False,-1.8654635693884296,False,2022.0,9.0,3.0,Friday,2532.3888888888887,0.0011111111111858918,High,14861.48,8,1407.9125000000001,5,0.04205607476635514
TXN000888,CLI0121,2024-04-30 23:19:00,860.29,GBP,0.86,1000.34,Prelevement,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,38753.21,,False,False,False,0.07513855061680814,False,0.11462984324678945,False,2024.0,4.0,2.0,Tuesday,1000.3372093023255,0.0027906976745271095,Medium,24350.989999999998,15,339.64066666666673,7,0.05572755417956656
TXN001557,CLI0022,2024-10-20 21:52:00,1791.77,EUR,1.0,1791.77,Depot especes,Compte Epargne,Toulouse-Capitole,Credit,Complete,787.0,Standard,25283.87,,False,False,False,0.14010231726893504,False,1.2483930069330842,False,2024.0,10.0,4.0,Sunday,1791.77,0.0,Low,224215.17,16,-11950.029375,8,0.06806282722513089
TXN000334,CLI0020,2023-04-02 16:25:00,189.39,EUR,1.0,189.39,Paiement CB,Credit Auto,Bordeaux-Meriadeck,Credit,Complete,660.0,Standard,44369.88,,False,False,False,0.028348290979551372,False,0.2343935577206938,False,2023.0,4.0,2.0,Sunday,189.39,0.0,Medium,15573.34,13,45.60769230769228,7,0.04519774011299435
TXN001842,CLI0131,2023-03-05 11:15:00,-2405.51,EUR,1.0,-2405.51,Remboursement credit,Compte Courant,Marseille-Vieux-Port,Debit,Complete,838.0,Premium,27273.18,,False,False,False,-0.1526265856529089,False,1.655589636144359,False,2023.0,3.0,1.0,Sunday,-2405.51,0.0,Low,24821.3,16,-536.89375,6,0.05572755417956656
TXN001160,CLI0146,2022-02-26 22:38:00,255.59,CHF,0.97,263.49,Paiement CB,Credit Immobilier,Toulouse-Capitole,Credit,Rejete,583.0,Standard,10838.69,,False,False,False,0.0329652460965381,False,-0.3803935099120153,False,2022.0,2.0,1.0,Saturday,263.49484536082474,-0.004845360824731415,Medium,14791.59,10,-410.131,5,0.06806282722513089
